OrderID,CustomerID,ProductID,SalespersonID,OrderDate,Quantity,UnitPrice,DiscountPct,SalesAmount
10001,98,35,16,2025-03-02,4,3836.01,15,13042.43
10002,31,21,11,2025-04-03,1,6100.99,0,6100.99
10003,14,46,19,2025-11-16,1,6467.4,0,6467.4
10004,49,24,9,2025-01-11,3,7161.0,10,19334.7
10005,51,7,3,2025-05-19,6,6124.95,10,33074.73
10006,67,6,1,2025-02-13,9,7808.64,10,63249.98
10007,32,49,19,2025-02-27,8,5507.59,5,41857.68
10008,96,7,20,2025-12-01,7,6124.95,20,34299.72
10009,53,48,15,2025-01-01,8,2413.38,10,17376.34
10010,29,14,3,2025-04-28,2,6608.68,10,11895.62
10011,97,5,6,2025-12-01,9,889.29,5,7603.43
10012,93,16,1,2025-08-10,9,1933.82,0,17404.38
10013,50,31,2,2025-01-27,1,5996.38,10,5396.74
10014,3,22,5,2025-06-19,5,2933.03,5,13931.89
10015,60,40,12,2025-12-21,9,5408.04,10,43805.12
10016,56,31,2,2025-05-27,5,5996.38,0,29981.9
10017,15,21,20,2025-07-12,9,6100.99,20,43927.13
10018,64,32,10,2025-07-14,10,7744.95,10,69704.55
10019,85,49,6,2025-08-30,5,5507.59,15,23407.26
10020,11,21,11,2025-03-10,1,6100.99,10,5490.89
10021,73,8,16,2025-11-03,4,6320.6,0,25282.4
10022,15,21,7,2025-12-27,3,6100.99,15,15557.52
10023,75,43,1,2025-02-22,5,5647.08,10,25411.86
10024,42,11,2,2025-10-26,6,3060.76,15,15609.88
10025,1,48,18,2025-10-26,5,2413.38,5,11463.56
10026,97,30,3,2025-09-28,2,5511.93,10,9921.47
10027,17,31,13,2025-05-16,4,5996.38,15,20387.69
10028,60,16,8,2025-06-21,7,1933.82,10,12183.07
10029,19,47,16,2025-11-03,1,3191.71,5,3032.12
10030,94,2,2,2025-02-25,3,3595.2,10,9707.04
10031,74,15,18,2025-10-30,9,3630.8,10,29409.48
10032,81,21,14,2025-12-03,1,6100.99,20,4880.79
10033,44,24,9,2025-09-06,5,7161.0,5,34014.75
10034,47,24,5,2025-05-05,3,7161.0,5,20408.85
10035,64,8,20,2025-07-24,2,6320.6,15,10745.02
10036,79,12,7,2025-01-19,5,7425.11,10,33412.99
10037,85,5,10,2025-12-07,6,889.29,10,4802.17
10038,2,29,8,2025-05-05,2,1361.17,10,2450.11
10039,67,18,5,2025-01-21,1,650.97,5,618.42
10040,11,29,9,2025-10-17,2,1361.17,10,2450.11
10041,29,30,4,2025-08-29,7,5511.93,0,38583.51
10042,83,36,1,2025-08-16,9,1637.35,0,14736.15
10043,26,28,6,2025-01-20,2,493.86,10,888.95
10044,80,33,3,2025-10-02,4,2707.73,10,9747.83
10045,47,30,9,2025-08-21,4,5511.93,15,18740.56
10046,24,33,18,2025-10-17,4,2707.73,5,10289.37
10047,34,31,4,2025-10-29,3,5996.38,0,17989.14
10048,54,16,1,2025-03-19,1,1933.82,20,1547.06
10049,77,13,3,2025-03-18,6,5204.34,0,31226.04
10050,61,40,11,2025-12-04,4,5408.04,0,21632.16
10051,94,18,6,2025-07-13,4,650.97,5,2473.69
10052,87,28,10,2025-06-09,3,493.86,10,1333.42
10053,76,10,1,2025-04-15,10,3685.53,15,31327.0
10054,61,22,7,2025-08-22,7,2933.03,15,17451.53
10055,29,27,9,2025-10-03,5,3813.76,10,17161.92
10056,42,32,9,2025-01-01,3,7744.95,0,23234.85
10057,12,27,12,2025-07-21,9,3813.76,5,32607.65
10058,38,19,16,2025-12-29,9,6646.9,10,53839.89
10059,93,49,10,2025-04-13,1,5507.59,0,5507.59
10060,43,26,17,2025-04-13,10,1677.91,5,15940.14
10061,12,41,11,2025-11-17,7,3581.64,5,23817.91
10062,66,37,6,2025-01-23,1,1169.88,0,1169.88
10063,97,28,5,2025-05-26,8,493.86,10,3555.79
10064,87,45,7,2025-06-17,2,6683.24,10,12029.83
10065,28,7,12,2025-10-19,1,6124.95,0,6124.95
10066,46,47,5,2025-02-17,2,3191.71,10,5745.08
10067,54,43,19,2025-06-08,5,5647.08,15,24000.09
10068,25,26,10,2025-02-25,7,1677.91,10,10570.83
10069,27,37,18,2025-10-15,5,1169.88,15,4971.99
10070,24,27,14,2025-08-19,2,3813.76,5,7246.14
10071,100,14,7,2025-07-01,2,6608.68,15,11234.76
10072,75,40,5,2025-05-24,9,5408.04,5,46238.74
10073,85,13,15,2025-02-25,10,5204.34,5,49441.23
10074,82,16,7,2025-12-03,8,1933.82,0,15470.56
10075,96,26,5,2025-08-25,2,1677.91,10,3020.24
10076,11,42,19,2025-04-27,9,6686.52,5,57169.75
10077,89,20,10,2025-06-01,7,5108.57,5,33971.99
10078,7,25,1,2025-09-23,6,6260.31,15,31927.58
10079,48,3,10,2025-09-20,2,6889.99,5,13090.98
10080,60,6,10,2025-06-18,10,7808.64,5,74182.08
10081,36,3,18,2025-04-21,5,6889.99,0,34449.95
10082,15,4,15,2025-08-29,1,5624.34,5,5343.12
10083,20,44,4,2025-08-29,3,2602.08,5,7415.93
10084,83,43,4,2025-08-07,5,5647.08,5,26823.63
10085,32,42,13,2025-01-27,1,6686.52,5,6352.19
10086,32,3,1,2025-06-22,4,6889.99,15,23425.97
10087,93,4,7,2025-08-13,5,5624.34,15,23903.44
10088,15,15,3,2025-12-13,10,3630.8,10,32677.2
10089,92,29,1,2025-07-11,1,1361.17,10,1225.05
10090,93,17,19,2025-05-06,6,4503.49,15,22967.8
10091,60,25,2,2025-07-22,10,6260.31,20,50082.48
10092,17,9,1,2025-03-06,9,1155.69,10,9361.09
10093,16,37,19,2025-02-03,10,1169.88,15,9943.98
10094,29,16,4,2025-09-05,2,1933.82,15,3287.49
10095,58,4,17,2025-12-26,9,5624.34,15,43026.2
10096,16,38,1,2025-11-05,10,3884.28,10,34958.52
10097,46,46,4,2025-08-02,4,6467.4,0,25869.6
10098,12,1,3,2025-01-15,5,6225.55,0,31127.75
10099,55,22,15,2025-12-27,6,2933.03,10,15838.36
10100,3,42,13,2025-06-14,5,6686.52,10,30089.34
10101,71,36,10,2025-04-16,3,1637.35,5,4666.45
10102,6,43,5,2025-11-22,10,5647.08,10,50823.72
10103,20,21,2,2025-09-30,10,6100.99,10,54908.91
10104,18,19,12,2025-10-01,4,6646.9,15,22599.46
10105,84,36,5,2025-04-12,9,1637.35,0,14736.15
10106,6,8,12,2025-12-29,4,6320.6,5,24018.28
10107,43,12,14,2025-06-15,8,7425.11,15,50490.75
10108,60,31,17,2025-07-13,6,5996.38,15,30581.54
10109,52,34,10,2025-10-02,5,3058.11,20,12232.44
10110,69,6,1,2025-08-29,2,7808.64,15,13274.69
10111,81,26,6,2025-03-04,7,1677.91,15,9983.56
10112,40,19,18,2025-04-21,4,6646.9,5,25258.22
10113,83,26,11,2025-05-12,3,1677.91,5,4782.04
10114,32,48,13,2025-12-12,2,2413.38,5,4585.42
10115,99,4,10,2025-09-18,10,5624.34,10,50619.06
